State,District,IncreaseRate(N/N+1),IncreaseRate(N+1/N+2),IncreaseRate(N+2/N+3),IncreaseRate(N+3/N+4),IncreaseRate(N+4/N+5),IncreaseRate(N+5/N+6)
Chandigarh,Chandigarh,2.294806394,11.87124788,7.517972691,3.610952525,1.689376969,0.9041261849
Chhattisgarh,Balod,5.212372076,9.578734927,4.88011004,2.415155574,1.415680465,0.6950166397
Chhattisgarh,Baloda Bazar,5.500795202,12.75139086,6.514118905,3.25424314,1.862862915,1.040580235
Chhattisgarh,Balrampur,-1.721588248,27.62040903,17.20739664,9.987509326,3.785736607,1.786002791
Chhattisgarh,Bametara,6.006414702,6.43148607,3.246922876,1.614823634,0.6898571952,0.3542024263
Chhattisgarh,Bastar,-0.8251836623,9.070767007,7.659915781,4.899301141,3.331094591,2.35409258
Chhattisgarh,Bijapur,-2.181021981,6.328488372,5.394100118,4.970168612,6.867493698,7.166146375
Chhattisgarh,Bilaspur,7.848229099,7.00708735,2.993311927,1.277161025,0.5379792487,0.2123624997
Chhattisgarh,Dakshin Bastar Dantewada,-0.4665135183,6.870716898,5.521961592,4.504093199,3.186152664,2.362181733
Chhattisgarh,Dhamtari,5.745573834,8.956595412,4.657172081,3.04053861,2.048932547,1.134887462
Chhattisgarh,Durg,4.465534119,3.261886401,1.417365249,0.6867070653,0.3156101121,0.2089978114
Chhattisgarh,Gariaband,6.600778563,9.080675755,5.196356456,2.617756562,1.248767416,0.7107278269
Chhattisgarh,Gaurela Pendra Marwahi,8.453215788,25.03833435,12.39620579,5.664370596,2.434654956,0.7408486968
Chhattisgarh,Janjgir Champa,7.569715623,12.314406,5.908883437,3.14798803,1.663445971,0.8795047648
Chhattisgarh,Jashpur,5.029614103,20.06425862,10.91853344,6.345485409,3.875388825,2.164295042
Chhattisgarh,Kabeerdham,7.443445214,11.75542376,4.835508141,1.799703303,0.8085236933,0.4241613462
Chhattisgarh,Kondagaon,6.400089178,12.61543067,5.743979586,5.041097956,2.814171363,1.82941731
Chhattisgarh,Korba,8.948609246,10.65171396,5.368956152,2.118672071,1.160050263,0.6040282768
Chhattisgarh,Koriya,1.875443274,23.79181501,15.07609949,8.785539307,2.852366167,1.570188533
Chhattisgarh,Mahasamund,6.865758604,9.235861915,4.786448412,2.67954351,1.589059771,0.9253823143
Chhattisgarh,Mungeli,9.665079671,20.74581545,7.980713276,4.393461134,1.639052091,0.3682361549
Chhattisgarh,Narayanpur,-2.422639513,10.80934569,9.769580745,5.758088956,4.374209861,4.174741602
Chhattisgarh,Other State,0.4461298238,3.02020875,2.543651649,1.408450704,0.7669983416,0.6994445587
Chhattisgarh,Raigarh,5.542497629,12.37606668,6.202230689,3.253364196,1.752348655,0.8163913077
Chhattisgarh,Raipur,2.647116297,3.11169647,1.648919936,0.861080762,0.4147368479,0.3381781749
Chhattisgarh,Rajnandgaon,5.017316118,4.442022149,1.879935261,0.8247315462,0.404608775,0.2244761154
Chhattisgarh,Sukma,-1.832581801,7.346446028,5.395397317,4.801686446,6.729742482,6.88708439
Chhattisgarh,Surajpur,-0.9246575342,22.64568043,14.35013436,8.061261922,4.247644912,1.560019538
Chhattisgarh,Surguja,2.192665111,14.94545141,10.12646024,6.985725055,3.412314518,1.426097048
Chhattisgarh,Uttar Bastar Kanker,9.079191102,13.81639185,5.862291836,2.510327089,0.9263189908,0.6284096402
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,9.675749734,6.962218583,2.901559783,1.21314535,0.7251432843,0.5640632345
Dadra and Nagar Haveli and Daman and Diu,Daman,4.298582943,9.667154907,4.739096394,2.968076686,1.772216766,0.9944612286
Dadra and Nagar Haveli and Daman and Diu,Diu,-9.411074154,19.69762419,10.89859257,10.93394077,21.16456439,1.924706452
Delhi,Delhi,6.658474706,7.664492058,2.936262353,0.9467626363,0.3883548583,0.1750571084
Goa,Unknown,2.641423722,19.4948207,9.376460577,7.182860546,3.822726298,2.166075118
Gujarat,Ahmedabad,8.347995181,11.75283861,6.521993855,1.850971443,0.796334093,0.385366019
Gujarat,Amreli,-2.82962764,18.55405512,13.65528726,5.350915751,2.71897861,0.9450695262
Gujarat,Anand,-2.371842099,22.55166874,17.60125539,8.033240997,2.693871169,1.321498714
Gujarat,Aravalli,3.464192465,29.2956604,15.07388819,4.982281855,3.009058912,1.100686178
Gujarat,Banaskantha,1.966215537,15.02808,7.695413832,4.840194062,2.053688511,0.5968057089
Gujarat,Bharuch,-1.525224873,12.93814967,9.515801061,5.480867222,3.01758937,1.379806519
Gujarat,Bhavnagar,9.104295187,15.65005689,8.075723253,3.614049698,1.324088327,0.4476949759
Gujarat,Botad,2.817670933,10.20268731,3.650892058,1.535189739,1.053802854,0.3432864823
Gujarat,Chhota Udaipur,10.47133758,21.10816421,8.455129731,3.142970019,0.8852193897,0.1856148492
Gujarat,Dahod,4.33359283,16.69281396,9.443706655,2.979641364,0.7142649326,0.193549319
Gujarat,Dang,7.789895393,10.53066281,5.772464039,5.139526669,0.6719301193,0.3837810779
Gujarat,Devbhumi Dwarka,-5.938728261,24.50486548,14.16486598,9.109213918,3.901232745,1.431565486
Gujarat,Gandhinagar,4.573412257,11.1335257,6.271301977,2.593134464,0.965233335,0.3993793617
Gujarat,Gir Somnath,-0.1328094737,26.78284479,14.01411682,4.699658834,4.047523157,2.577546317
Gujarat,Jamnagar,7.950873394,14.65715673,6.754796734,2.899300838,1.320780816,0.6217886663
Gujarat,Junagadh,-2.711888161,28.47264739,16.5166933,6.768515177,3.99218838,1.765258216
Gujarat,Kheda,2.087657672,15.78690127,11.29421697,6.024516795,2.442584246,0.9693820539
Gujarat,Kutch,1.206896552,14.44943472,8.939106901,5.343701091,2.149561362,0.7814754534
Gujarat,Mahisagar,2.341762293,21.95585997,10.88923557,4.507597074,1.784143737,0.7053802881
Gujarat,Mehsana,8.815422491,16.6452447,6.070779581,2.239880443,0.8295007546,0.4048559137
Gujarat,Morbi,5.926823486,7.303608286,3.244495944,1.25701459,0.3857237863,0.2053705503
