District	State	2021-11-22	2021-11-23	2021-11-24	2021-11-25	2021-11-26	2021-11-27	2021-11-28	Count_x	sum_x	avg_cases_previous_week	2021-11-29	2021-11-30	2021-12-01	2021-12-02	2021-12-03	2021-12-04	2021-12-05	Count_y	sum_y	avg_cases_over_7_days	Increase	Rate_of_Increase
Agar Malwa	Madhya Pradesh	3303	3303	3303	3303	3303	3303	3303	7	23121.0	3303.0	3303	3303	3303	3303	3303	3303	3303	7	23121.0	3303.0	0.0	0.0
Agra	Uttar Pradesh	25765	25765	25765	25765	25765	25765	25765	7	180355.0	25765.0	25765	25765	25765	25765	25765	25765	25765	7	180355.0	25765.0	0.0	0.0
Ahmedabad	Gujarat	238334	238334	238334	238334	238334	238334	238334	7	1668338.0	238334.0	238334	238334	238334	238334	238334	238334	238334	7	1668338.0	238334.0	0.0	0.0
Ahmednagar	Maharashtra	341339	341417	341417	341503	341574	341677	341747	7	2390674.0	341524.85714285716	341811	341860	341897	341960	341997	342071	342106	7	2393702.0	341957.4285714286	432.57142857142026	0.12665884181615486
Aizawl	Mizoram	75111	75111	75111	75111	75111	75111	75111	7	525777.0	75111.0	75111	75111	75111	75111	75111	75111	75111	7	525777.0	75111.0	0.0	0.0
Ajmer	Rajasthan	37804	37808	37811	37814	37816	37820	37824	7	264697.0	37813.857142857145	37825	37826	37827	37829	37830	37830	37832	7	264799.0	37828.42857142857	14.571428571427532	0.03853462638412703
Akola	Maharashtra	58783	58784	58784	58784	58785	58788	58792	7	411500.0	58785.71428571428	58792	58792	58793	58793	58794	58796	58796	7	411556.0	58793.71428571428	8.0	0.013608748481166465
Alappuzha	Kerala	321046	321215	321352	321567	321711	321863	322015	7	2250769.0	321538.4285714286	322129	322279	322441	322656	322851	323011	323158	7	2258525.0	322646.4285714286	1108.0	0.3445933367662341
Aligarh	Uttar Pradesh	21280	21280	21280	21280	21280	21280	21280	7	148960.0	21280.0	21280	21280	21280	21280	21280	21280	21280	7	148960.0	21280.0	0.0	0.0
Alipurduar	West Bengal	15680	15683	15688	15692	15696	15702	15707	7	109848.0	15692.57142857143	15713	15720	15725	15728	15731	15734	15738	7	110089.0	15727.0	34.42857142857065	0.21939407180831197
Alirajpur	Madhya Pradesh	3505	3505	3505	3505	3505	3505	3505	7	24535.0	3505.0	3505	3505	3505	3505	3505	3505	3505	7	24535.0	3505.0	0.0	0.0
Almora	Uttarakhand	12193	12193	12194	12195	12195	12195	12197	7	85362.0	12194.57142857143	12197	12197	12197	12199	12199	12199	12199	7	85387.0	12198.142857142857	3.571428571427532	0.029287036386205483
Alwar	Rajasthan	59705	59706	59708	59708	59710	59711	59712	7	417960.0	59708.57142857143	59712	59712	59714	59715	59719	59719	59720	7	418011.0	59715.857142857145	7.285714285717404	0.012202124605230603
Ambala	Haryana	30150	30150	30150	30150	30150	30150	30150	7	211050.0	30150.0	30150	30150	30150	30152	30152	30152	30152	7	211058.0	30151.14285714286	1.142857142858702	0.0037905709547552302
Ambedkar Nagar	Uttar Pradesh	5042	5042	5042	5042	5042	5042	5042	7	35294.0	5042.0	5042	5042	5042	5042	5042	5042	5042	7	35294.0	5042.0	0.0	0.0
Amethi	Uttar Pradesh	9973	9973	9973	9973	9973	9973	9973	7	69811.0	9973.0	9973	9973	9973	9973	9973	9973	9973	7	69811.0	9973.0	0.0	0.0
Amravati	Maharashtra	96256	96256	96256	96257	96259	96259	96261	7	673804.0	96257.71428571429	96261	96265	96269	96270	96271	96271	96271	7	673878.0	96268.28571428571	10.571428571420256	0.010982422188046046
Amreli	Gujarat	10811	10811	10811	10811	10811	10811	10811	7	75677.0	10811.0	10811	10811	10811	10811	10811	10811	10811	7	75677.0	10811.0	0.0	0.0
Amritsar	Punjab	47381	47381	47381	47381	47381	47381	47381	7	331667.0	47381.0	47381	47383	47383	47383	47383	47383	47383	7	331679.0	47382.71428571428	1.714285714282596	0.003618086815986568
Amroha	Uttar Pradesh	16616	16616	16616	16616	16616	16616	16616	7	116312.0	16616.0	16616	16616	16616	16616	16616	16616	16616	7	116312.0	16616.0	0.0	0.0
Anand	Gujarat	9637	9637	9637	9637	9637	9637	9637	7	67459.0	9637.0	9637	9637	9637	9637	9637	9637	9637	7	67459.0	9637.0	0.0	0.0
Anantapur	Andhra Pradesh	157974	157977	157990	157995	157999	158009	158020	7	1105964.0	157994.85714285713	158025	158034	158045	158058	158063	158074	158086	7	1106385.0	158055.0	60.142857142869616	0.0380663385065054
Anantnag	Jammu and Kashmir	16657	16658	16661	16662	16662	16664	16669	7	116633.0	16661.85714285714	16671	16672	16672	16683	16684	16687	16688	7	116757.0	16679.571428571428	17.714285714286234	0.10631639415946056
Angul	Odisha	43947	43947	43948	43949	43951	43953	43953	7	307648.0	43949.71428571428	43955	43955	43955	43957	43957	43959	43959	7	307697.0	43956.71428571428	7.0	0.01592729353026836
Anjaw	Arunachal Pradesh	1068	1068	1068	1068	1068	1068	1068	7	7476.0	1068.0	1068	1068	1068	1068	1068	1068	1068	7	7476.0	1068.0	0.0	0.0
Anuppur	Madhya Pradesh	9240	9240	9240	9240	9240	9240	9240	7	64680.0	9240.0	9240	9240	9240	9240	9240	9240	9241	7	64681.0	9240.142857142857	0.142857142856883	0.0015460729746415909
Araria	Bihar	14980	14980	14980	14980	14980	14980	14980	7	104860.0	14980.0	14980	14980	14980	14980	14980	14980	14981	7	104861.0	14980.142857142857	0.142857142856883	0.0009536524890312617
Aravalli	Gujarat	5186	5186	5186	5186	5186	5186	5186	7	36302.0	5186.0	5186	5186	5186	5186	5186	5186	5186	7	36302.0	5186.0	0.0	0.0
Ariyalur	Tamil Nadu	16914	16916	16918	16918	16919	16920	16923	7	118428.0	16918.285714285714	16925	16926	16927	16928	16929	16930	16931	7	118496.0	16928.0	9.714285714286234	0.05741885364947786
Arwal	Bihar	7381	7381	7381	7381	7381	7381	7381	7	51667.0	7381.0	7381	7381	7381	7381	7381	7381	7381	7	51667.0	7381.0	0.0	0.0
Ashoknagar	Madhya Pradesh	3671	3671	3671	3671	3671	3671	3671	7	25697.0	3671.0	3671	3671	3672	3672	3672	3672	3672	7	25702.0	3671.714285714286	0.7142857142857792	0.01945752422461943
Auraiya	Uttar Pradesh	10090	10090	10090	10090	10090	10090	10090	7	70630.0	10090.0	10090	10090	10090	10090	10090	10090	10090	7	70630.0	10090.0	0.0	0.0
Aurangabad	Bihar	20011	20011	20011	20011	20011	20011	20011	7	140077.0	20011.0	20011	20011	20011	20011	20011	20011	20011	7	140077.0	20011.0	0.0	0.0
Aurangabad	Maharashtra	155734	155745	155745	155760	155775	155789	155814	7	1090362.0	155766.0	155820	155827	155871	155904	155914	155923	155940	7	1091199.0	155885.57142857142	119.57142857142026	0.07676349689368685
Ayodhya	Uttar Pradesh	16919	16919	16919	16919	16919	16919	16919	7	118433.0	16919.0	16919	16919	16919	16919	16919	16919	16919	7	118433.0	16919.0	0.0	0.0
Azamgarh	Uttar Pradesh	17906	17906	17906	17906	17906	17906	17906	7	125342.0	17906.0	17906	17906	17906	17906	17906	17906	17906	7	125342.0	17906.0	0.0	0.0
Bagalkote	Karnataka	35180	35180	35180	35180	35181	35181	35181	7	246263.0	35180.42857142857	35181	35182	35182	35184	35184	35184	35184	7	246281.0	35183.0	2.571428571427532	0.007309258800547676
Bageshwar	Uttarakhand	5766	5766	5766	5766	5766	5766	5766	7	40362.0	5766.0	5766	5766	5766	5767	5767	5767	5767	7	40366.0	5766.571428571428	0.5714285714284415	0.00991031167930006
Baghpat	Uttar Pradesh	9132	9132	9132	9132	9132	9132	9132	7	63924.0	9132.0	9132	9132	9132	9132	9132	9132	9132	7	63924.0	9132.0	0.0	0.0
Bahraich	Uttar Pradesh	11549	11549	11549	11549	11549	11549	11549	7	80843.0	11549.0	11549	11549	11549	11549	11549	11549	11549	7	80843.0	11549.0	0.0	0.0
Baksa	Assam	50	50	50	50	50	50	50	7	350.0	50.0	50	51	51	51	51	51	51	7	356.0	50.857142857142854	0.8571428571428541	1.7142857142857082
Balaghat	Madhya Pradesh	9101	9101	9101	9101	9101	9101	9101	7	63707.0	9101.0	9101	9101	9101	9101	9101	9101	9101	7	63707.0	9101.0	0.0	0.0
Balangir	Odisha	23423	23426	23426	23426	23426	23427	23427	7	163981.0	23425.85714285714	23430	23435	23436	23439	23440	23440	23440	7	164060.0	23437.14285714286	11.285714285717404	0.04817631310945892
Balasore	Odisha	40923	40923	40936	40940	40945	40955	40957	7	286579.0	40939.857142857145	40958	40963	40975	40979	40982	40985	40985	7	286827.0	40975.28571428572	35.42857142857247	0.08653809246316278
Ballari	Karnataka	97785	97785	97785	97785	97786	97786	97788	7	684500.0	97785.71428571429	97789	97790	97792	97794	97795	97797	97802	7	684559.0	97794.14285714286	8.428571428565192	0.008619430241045485
Ballia	Uttar Pradesh	21611	21611	21611	21611	21611	21611	21611	7	151277.0	21611.0	21611	21611	21611	21611	21611	21611	21611	7	151277.0	21611.0	0.0	0.0
Balod	Chhattisgarh	27287	27287	27287	27287	27287	27287	27288	7	191010.0	27287.14285714286	27288	27288	27288	27288	27289	27291	27291	7	191023.0	27289.0	1.857142857141298	0.006805926391282699
Baloda Bazar	Chhattisgarh	43101	43102	43102	43102	43102	43102	43103	7	301714.0	43102.0	43103	43103	43103	43103	43105	43109	43109	7	301735.0	43105.0	3.0	0.006960233863857825
Balrampur	Chhattisgarh	20302	20302	20302	20302	20302	20302	20302	7	142114.0	20302.0	20302	20302	20304	20304	20305	20305	20305	7	142127.0	20303.85714285714	1.857142857141298	0.009147585741017131
Balrampur	Uttar Pradesh	7494	7494	7494	7494	7494	7494	7494	7	52458.0	7494.0	7494	7494	7494	7494	7494	7494	7494	7	52458.0	7494.0	0.0	0.0
Bametara	Chhattisgarh	19967	19967	19967	19967	19967	19968	19968	7	139771.0	19967.285714285714	19968	19968	19970	19970	19970	19974	19974	7	139794.0	19970.571428571428	3.285714285713766	0.016455487905213787
Banaskantha	Gujarat	13631	13631	13631	13631	13631	13631	13631	7	95417.0	13631.0	13631	13631	13631	13631	13631	13631	13631	7	95417.0	13631.0	0.0	0.0
Banda	Uttar Pradesh	10992	10992	10992	10992	10992	10992	10992	7	76944.0	10992.0	10992	10992	10992	10992	10992	10992	10992	7	76944.0	10992.0	0.0	0.0
Bandipora	Jammu and Kashmir	9940	9946	9954	9959	9968	9975	9982	7	69724.0	9960.57142857143	9996	9999	10005	10012	10019	10030	10041	7	70102.0	10014.57142857143	54.0	0.5421375709942057
Banka	Bihar	7379	7379	7379	7379	7379	7379	7379	7	51653.0	7379.0	7379	7379	7379	7379	7379	7379	7379	7	51653.0	7379.0	0.0	0.0
Bankura	West Bengal	36723	36745	36749	36765	36784	36792	36795	7	257353.0	36764.71428571428	36799	36806	36813	36821	36826	36843	36854	7	257762.0	36823.142857142855	58.42857142857247	0.15892567795984788
Banswara	Rajasthan	10005	10005	10005	10005	10005	10005	10005	7	70035.0	10005.0	10005	10005	10005	10005	10005	10005	10005	7	70035.0	10005.0	0.0	0.0
Barabanki	Uttar Pradesh	19850	19850	19850	19850	19850	19850	19850	7	138950.0	19850.0	19850	19850	19850	19850	19850	19850	19850	7	138950.0	19850.0	0.0	0.0
Baramulla	Jammu and Kashmir	25179	25214	25257	25289	25312	25335	25366	7	176952.0	25278.85714285714	25389	25431	25459	25488	25529	25547	25568	7	178411.0	25487.285714285714	208.42857142857247	0.8245173832451779
Baran	Rajasthan	11998	11998	11998	11998	11998	11998	11998	7	83986.0	11998.0	11998	11998	11998	11998	11998	11998	11998	7	83986.0	11998.0	0.0	0.0
Bareilly	Uttar Pradesh	44028	44028	44028	44028	44028	44028	44028	7	308196.0	44028.0	44028	44028	44028	44028	44028	44028	44028	7	308196.0	44028.0	0.0	0.0
Bargarh	Odisha	31145	31146	31149	31149	31153	31153	31154	7	218049.0	31149.85714285714	31155	31155	31156	31156	31158	31159	31159	7	218098.0	31156.85714285714	7.0	0.022472013171351397
Barmer	Rajasthan	15569	15569	15569	15571	15571	15571	15571	7	108991.0	15570.142857142857	15572	15572	15572	15573	15573	15575	15575	7	109012.0	15573.142857142857	3.0	0.019267645952418092
Barnala	Punjab	5951	5951	5951	5951	5951	5951	5951	7	41657.0	5951.0	5951	5951	5951	5951	5951	5951	5951	7	41657.0	5951.0	0.0	0.0
Barpeta	Assam	293	306	312	322	331	343	343	7	2250.0	321.42857142857144	351	363	369	375	381	400	401	7	2640.0	377.14285714285717	55.71428571428572	17.333333333333336
Barwani	Madhya Pradesh	8369	8369	8369	8369	8369	8369	8369	7	58583.0	8369.0	8369	8369	8369	8369	8369	8369	8369	7	58583.0	8369.0	0.0	0.0
Bastar	Chhattisgarh	21080	21083	21083	21084	21084	21086	21086	7	147586.0	21083.714285714286	21088	21088	21089	21093	21093	21093	21093	7	147637.0	21091.0	7.285714285713766	0.03455612320951605
Basti	Uttar Pradesh	11717	11717	11717	11717	11717	11717	11717	7	82019.0	11717.0	11717	11717	11717	11717	11717	11717	11717	7	82019.0	11717.0	0.0	0.0
Bathinda	Punjab	41737	41737	41737	41737	41737	41737	41737	7	292159.0	41737.0	41737	41738	41738	41738	41738	41738	41738	7	292165.0	41737.857142857145	0.857142857144936	0.0020536762516350864
Beed	Maharashtra	103933	103938	103938	103949	103953	103966	103968	7	727645.0	103949.28571428571	103971	103978	103988	103992	103996	104009	104014	7	727948.0	103992.57142857143	43.28571428572468	0.04164118491847986
Begusarai	Bihar	27215	27215	27215	27215	27215	27215	27215	7	190505.0	27215.0	27215	27215	27215	27215	27215	27215	27215	7	190505.0	27215.0	0.0	0.0
Belagavi	Karnataka	79953	79955	79959	79964	79973	79976	79976	7	559756.0	79965.14285714286	79976	79981	79983	79991	79993	79996	80002	7	559922.0	79988.85714285714	23.714285714289872	0.029655778589247655
Bengaluru Rural	Karnataka	62072	62075	62077	62078	62081	62085	62087	7	434555.0	62079.28571428572	62089	62091	62094	62097	62102	62103	62105	7	434681.0	62097.28571428572	18.0	0.028995178976194035
Bengaluru Urban	Karnataka	1255071	1255193	1255345	1255516	1255740	1255889	1256041	7	8788795.0	1255542.142857143	1256172	1256357	1256522	1256728	1256940	1257147	1257403	7	8797269.0	1256752.7142857143	1210.571428571362	0.09641822343107939
Betul	Madhya Pradesh	12905	12906	12906	12906	12906	12906	12906	7	90341.0	12905.857142857143	12906	12906	12906	12906	12906	12906	12906	7	90342.0	12906.0	0.142857142856883	0.0011069171251128292
Bhadohi	Uttar Pradesh	7720	7720	7720	7720	7720	7720	7720	7	54040.0	7720.0	7720	7720	7720	7720	7720	7720	7720	7	54040.0	7720.0	0.0	0.0
Bhadrak	Odisha	26543	26550	26553	26555	26556	26558	26561	7	185876.0	26553.714285714286	26562	26564	26566	26567	26571	26572	26572	7	185974.0	26567.714285714286	14.0	0.052723320923626506
Bhagalpur	Bihar	25841	25841	25841	25841	25841	25841	25841	7	180887.0	25841.0	25841	25841	25841	25842	25842	25842	25842	7	180891.0	25841.571428571428	0.571428571427532	0.0022113253025329203
Bhandara	Maharashtra	60088	60088	60088	60089	60089	60089	60090	7	420621.0	60088.71428571428	60090	60090	60090	60090	60090	60090	60091	7	420631.0	60090.142857142855	1.428571428572468	0.0023774371702809122
Bharatpur	Rajasthan	19601	19601	19601	19601	19601	19601	19601	7	137207.0	19601.0	19601	19601	19601	19601	19601	19601	19601	7	137207.0	19601.0	0.0	0.0
Bharuch	Gujarat	11426	11426	11426	11426	11426	11426	11426	7	79982.0	11426.0	11426	11426	11426	11426	11426	11426	11426	7	79982.0	11426.0	0.0	0.0
Bhavnagar	Gujarat	21447	21447	21447	21447	21447	21447	21447	7	150129.0	21447.0	21447	21447	21447	21447	21447	21447	21447	7	150129.0	21447.0	0.0	0.0
Bhilwara	Rajasthan	29782	29782	29782	29782	29782	29782	29782	7	208474.0	29782.0	29782	29782	29783	29783	29783	29783	29783	7	208479.0	29782.714285714286	0.714285714286234	0.0023983806134115705
Bhind	Madhya Pradesh	2996	2996	2996	2996	2996	2996	2996	7	20972.0	2996.0	2996	2996	2996	2996	2996	2996	2996	7	20972.0	2996.0	0.0	0.0
Bhiwani	Haryana	22409	22409	22409	22409	22409	22410	22410	7	156865.0	22409.285714285714	22410	22410	22410	22410	22410	22410	22410	7	156870.0	22410.0	0.714285714286234	0.0031874541803484768
Bhojpur	Bihar	10210	10210	10210	10210	10210	10210	10210	7	71470.0	10210.0	10210	10210	10210	10210	10210	10210	10210	7	71470.0	10210.0	0.0	0.0
Bhopal	Madhya Pradesh	123576	123582	123587	123593	123599	123606	123612	7	865155.0	123593.57142857143	123621	123635	123644	123651	123659	123667	123672	7	865549.0	123649.85714285714	56.28571428571013	0.04554097242690279
Bidar	Karnataka	24344	24344	24344	24344	24344	24346	24347	7	170413.0	24344.714285714286	24347	24348	24348	24348	24348	24348	24349	7	170436.0	24348.0	3.285714285713766	0.01349662291022185
Bijapur	Chhattisgarh	8324	8325	8325	8325	8325	8325	8325	7	58274.0	8324.857142857143	8325	8325	8325	8326	8326	8326	8326	7	58279.0	8325.57142857143	0.714285714286234	0.008580155815635855
Bijnor	Uttar Pradesh	14794	14794	14794	14794	14794	14794	14794	7	103558.0	14794.0	14794	14794	14794	14794	14794	14794	14794	7	103558.0	14794.0	0.0	0.0
Bikaner	Rajasthan	40348	40348	40349	40352	40353	40361	40361	7	282472.0	40353.142857142855	40361	40362	40363	40367	40371	40381	40381	7	282586.0	40369.42857142857	16.285714285717404	0.04035798238410244
Bilaspur	Chhattisgarh	65717	65718	65718	65718	65718	65721	65723	7	460033.0	65719.0	65724	65724	65727	65727	65728	65731	65731	7	460092.0	65727.42857142857	8.428571428565192	0.012825166890191865
Bilaspur	Himachal Pradesh	14550	14553	14558	14560	14564	14567	14568	7	101920.0	14560.0	14569	14574	14575	14577	14577	14580	14580	7	102032.0	14576.0	16.0	0.10989010989010989
Birbhum	West Bengal	41517	41527	41535	41551	41565	41580	41600	7	290875.0	41553.57142857143	41614	41621	41657	41679	41690	41701	41722	7	291684.0	41669.142857142855	115.57142857142753	0.27812634293080973
Bishnupur	Manipur	39	42	44	44	45	45	46	7	305.0	43.57142857142857	46	47	49	52	54	55	55	7	358.0	51.142857142857146	7.5714285714285765	17.37704918032788
Biswanath	Assam	38	39	39	42	45	45	45	7	293.0	41.857142857142854	47	49	52	52	54	55	55	7	364.0	52.0	10.142857142857146	24.232081911262807
Bokaro	Jharkhand	19465	19465	19465	19465	19469	19473	19473	7	136275.0	19467.85714285714	19473	19473	19474	19474	19474	19475	19475	7	136318.0	19474.0	6.142857142858702	0.03155384333150682
Bongaigaon	Assam	26	26	27	28	29	31	31	7	198.0	28.285714285714285	31	34	35	36	37	37	37	7	247.0	35.285714285714285	7.0	24.747474747474747
Botad	Gujarat	2218	2218	2218	2218	2218	2218	2218	7	15526.0	2218.0	2218	2218	2218	2218	2218	2218	2218	7	15526.0	2218.0	0.0	0.0
Boudh	Odisha	12654	12655	12657	12658	12658	12660	12660	7	88602.0	12657.42857142857	12660	12661	12661	12661	12661	12661	12661	7	88626.0	12660.857142857143	3.428571428572468	0.027087424663108373
Budaun	Uttar Pradesh	14941	14941	14941	14941	14941	14941	14941	7	104587.0	14941.0	14941	14941	14941	14941	14941	14941	14941	7	104587.0	14941.0	0.0	0.0
Budgam	Jammu and Kashmir	24070	24087	24105	24122	24139	24158	24163	7	168844.0	24120.571428571428	24179	24195	24198	24211	24222	24234	24253	7	169492.0	24213.14285714286	92.57142857143117	0.3837862168629138
Bulandshahr	Uttar Pradesh	20215	20215	20215	20215	20215	20215	20215	7	141505.0	20215.0	20215	20215	20215	20215	20215	20215	20215	7	141505.0	20215.0	0.0	0.0
Buldhana	Maharashtra	85581	85583	85583	85585	85586	85589	85589	7	599096.0	85585.14285714286	85591	85594	85594	85598	85601	85604	85604	7	599186.0	85598.0	12.857142857144936	0.015022634102049515
Bundi	Rajasthan	7968	7968	7968	7968	7968	7968	7968	7	55776.0	7968.0	7968	7968	7968	7968	7968	7968	7968	7	55776.0	7968.0	0.0	0.0
Burhanpur	Madhya Pradesh	2569	2569	2569	2569	2569	2569	2569	7	17983.0	2569.0	2569	2569	2569	2569	2569	2569	2569	7	17983.0	2569.0	0.0	0.0
Buxar	Bihar	9252	9252	9252	9252	9252	9252	9252	7	64764.0	9252.0	9252	9252	9252	9252	9252	9252	9252	7	64764.0	9252.0	0.0	0.0
Cachar	Assam	49	51	55	56	57	57	57	7	382.0	54.57142857142857	61	61	66	68	70	77	80	7	483.0	69.0	14.42857142857143	26.439790575916234
Chamarajanagara	Karnataka	33039	33043	33045	33047	33048	33051	33052	7	231325.0	33046.42857142857	33060	33063	33072	33084	33087	33090	33092	7	231548.0	33078.28571428572	31.857142857144936	0.09640116718902607
Chamba	Himachal Pradesh	13709	13711	13712	13713	13713	13718	13718	7	95994.0	13713.42857142857	13721	13721	13726	13726	13726	13729	13729	7	96078.0	13725.42857142857	12.0	0.08750546909181825
Chamoli	Uttarakhand	12244	12244	12245	12245	12245	12246	12246	7	85715.0	12245.0	12246	12246	12246	12246	12246	12246	12246	7	85722.0	12246.0	1.0	0.008166598611678236
Champawat	Uttarakhand	7604	7604	7604	7604	7604	7604	7604	7	53228.0	7604.0	7604	7606	7606	7606	7607	7607	7607	7	53243.0	7606.142857142857	2.142857142856883	0.028180656797171005
Champhai	Mizoram	5193	5193	5193	5193	5193	5193	5193	7	36351.0	5193.0	5193	5193	5193	5193	5193	5193	5193	7	36351.0	5193.0	0.0	0.0
Chandauli	Uttar Pradesh	16209	16209	16209	16209	16209	16209	16209	7	113463.0	16209.0	16209	16209	16209	16209	16209	16209	16209	7	113463.0	16209.0	0.0	0.0
Chandel	Manipur	19	22	22	22	22	22	22	7	151.0	21.571428571428573	22	23	23	23	23	23	23	7	160.0	22.857142857142858	1.2857142857142847	5.960264900662247
Chandigarh	Chandigarh	65415	65420	65426	65435	65443	65448	65453	7	458040.0	65434.28571428572	65461	65470	65476	65480	65483	65486	65493	7	458349.0	65478.42857142857	44.142857142855064	0.06746135708671414
Chandrapur	Maharashtra	88996	88997	88997	88998	88999	89003	89004	7	622994.0	88999.14285714286	89005	89007	89009	89012	89012	89012	89015	7	623072.0	89010.28571428571	11.142857142855064	0.012520184785083877
Changlang	Arunachal Pradesh	3810	3810	3810	3810	3810	3810	3810	7	26670.0	3810.0	3810	3810	3810	3810	3810	3810	3810	7	26670.0	3810.0	0.0	0.0
Charaideo	Assam	22	22	23	25	25	25	25	7	167.0	23.857142857142858	26	26	27	27	27	27	27	7	187.0	26.714285714285715	2.8571428571428577	11.976047904191619
Charkhi Dadri	Haryana	5078	5078	5078	5078	5078	5078	5078	7	35546.0	5078.0	5079	5079	5079	5079	5079	5079	5079	7	35553.0	5079.0	1.0	0.019692792437967704
Chatra	Jharkhand	6034	6034	6034	6034	6034	6034	6034	7	42238.0	6034.0	6034	6034	6034	6034	6034	6034	6034	7	42238.0	6034.0	0.0	0.0
Chengalpattu	Tamil Nadu	173276	173333	173392	173461	173520	173576	173629	7	1214187.0	173455.2857142857	173680	173733	173797	173855	173911	173965	174026	7	1216967.0	173852.42857142858	397.1428571428696	0.22895978955466395
Chennai	Tamil Nadu	557281	557395	557510	557617	557720	557825	557932	7	3903280.0	557611.4285714285	558037	558152	558269	558392	558520	558656	558787	7	3908813.0	558401.8571428572	790.428571428638	0.14175257731959956
Chhatarpur	Madhya Pradesh	7613	7613	7613	7613	7613	7613	7613	7	53291.0	7613.0	7613	7613	7613	7613	7613	7613	7613	7	53291.0	7613.0	0.0	0.0
Chhindwara	Madhya Pradesh	6734	6734	6734	6734	6734	6734	6734	7	47138.0	6734.0	6734	6734	6734	6734	6734	6734	6734	7	47138.0	6734.0	0.0	0.0
Chhota Udaipur	Gujarat	3395	3395	3395	3395	3395	3395	3395	7	23765.0	3395.0	3395	3395	3395	3395	3395	3395	3395	7	23765.0	3395.0	0.0	0.0
Chikkaballapura	Karnataka	43967	43970	43970	43971	43971	43972	43973	7	307794.0	43970.57142857143	43973	43973	43973	43973	43974	43974	43976	7	307816.0	43973.71428571428	3.142857142855064	0.0071476377057335255
Chikkamagaluru	Karnataka	51192	51196	51201	51203	51208	51212	51212	7	358424.0	51203.42857142857	51213	51213	51214	51219	51221	51232	51298	7	358610.0	51230.0	26.571428571427532	0.05189384639421264
Chirang	Assam	8	8	10	10	10	10	10	7	66.0	9.428571428571429	10	10	11	11	11	16	16	7	85.0	12.142857142857142	2.7142857142857135	28.78787878787878
Chitradurga	Karnataka	36700	36701	36705	36711	36715	36720	36721	7	256973.0	36710.42857142857	36721	36723	36727	36729	36731	36734	36735	7	257100.0	36728.57142857143	18.142857142855064	0.04942153455809967
Chitrakoot	Uttar Pradesh	7113	7113	7113	7113	7113	7113	7113	7	49791.0	7113.0	7113	7113	7113	7113	7113	7113	7113	7	49791.0	7113.0	0.0	0.0
Chittoor	Andhra Pradesh	247796	247825	247855	247880	247916	247944	247965	7	1735181.0	247883.0	247984	248014	248053	248076	248101	248122	248152	7	1736502.0	248071.7142857143	188.71428571428987	0.07613038639773194
Chittorgarh	Rajasthan	19809	19809	19809	19809	19809	19809	19809	7	138663.0	19809.0	19809	19809	19809	19809	19809	19809	19809	7	138663.0	19809.0	0.0	0.0
Churachandpur	Manipur	38	38	39	40	40	41	43	7	279.0	39.857142857142854	43	46	46	47	50	50	50	7	332.0	47.42857142857143	7.5714285714285765	18.996415770609335
Churu	Rajasthan	16720	16720	16720	16720	16720	16720	16720	7	117040.0	16720.0	16720	16720	16720	16721	16721	16721	16721	7	117044.0	16720.571428571428	0.571428571427532	0.003417634996576148
Coimbatore	Tamil Nadu	249260	249379	249496	249608	249721	249833	249942	7	1747239.0	249605.57142857142	250048	250157	250275	250396	250523	250653	250777	7	1752829.0	250404.14285714287	798.5714285714494	0.3199333348214037
Cooch Behar	West Bengal	29578	29590	29600	29612	29622	29633	29645	7	207280.0	29611.428571428572	29657	29668	29678	29690	29701	29716	29728	7	207838.0	29691.14285714286	79.71428571428623	0.2692010806638381
Cuddalore	Tamil Nadu	64350	64356	64361	64367	64377	64386	64394	7	450591.0	64370.142857142855	64401	64406	64412	64417	64423	64428	64437	7	450924.0	64417.71428571428	47.57142857142753	0.0739029408044086
Cuttack	Odisha	95030	95051	95072	95087	95101	95114	95120	7	665575.0	95082.14285714286	95137	95156	95175	95191	95203	95212	95212	7	666286.0	95183.71428571429	101.57142857143481	0.10682492581603031
Dadra and Nagar Haveli	Dadra and Nagar Haveli and Daman and Diu	5921	5921	5921	5921	5921	5921	5921	7	41447.0	5921.0	5921	5921	5921	5921	5921	5921	5921	7	41447.0	5921.0	0.0	0.0
Dahod	Gujarat	9955	9955	9955	9955	9955	9955	9955	7	69685.0	9955.0	9955	9955	9955	9955	9955	9955	9955	7	69685.0	9955.0	0.0	0.0
Dakshin Bastar Dantewada	Chhattisgarh	10875	10876	10877	10879	10880	10881	10882	7	76150.0	10878.57142857143	10882	10882	10882	10882	10884	10884	10884	7	76180.0	10882.857142857143	4.285714285713766	0.03939592908732287
Dakshin Dinajpur	West Bengal	18367	18379	18396	18411	18421	18452	18458	7	128884.0	18412.0	18462	18477	18489	18517	18531	18541	18552	7	129569.0	18509.85714285714	97.8571428571413	0.5314856770429138
Dakshina Kannada	Karnataka	115744	115761	115775	115788	115807	115820	115839	7	810534.0	115790.57142857143	115850	115869	115882	115902	115912	115934	115947	7	811296.0	115899.42857142857	108.85714285713038	0.09401209572947127
Daman	Dadra and Nagar Haveli and Daman and Diu	3545	3545	3545	3545	3545	3545	3545	7	24815.0	3545.0	3545	3545	3545	3545	3545	3545	3545	7	24815.0	3545.0	0.0	0.0
