District	State	2021-11-22	2021-11-23	2021-11-24	2021-11-25	2021-11-26	2021-11-27	2021-11-28	Count_x	sum_x	avg_cases_previous_week	2021-11-29	2021-11-30	2021-12-01	2021-12-02	2021-12-03	2021-12-04	2021-12-05	Count_y	sum_y	avg_cases_over_7_days	Increase	Rate_of_Increase
Supaul	Bihar	17223	17223	17223	17223	17223	17223	17223	7	120561.0	17223.0	17223	17223	17223	17223	17223	17223	17223	7	120561.0	17223.0	0.0	0.0
Surajpur	Chhattisgarh	29033	29034	29034	29034	29034	29034	29034	7	203237.0	29033.85714285714	29034	29034	29034	29034	29034	29034	29034	7	203238.0	29034.0	0.142857142858702	0.0004920363910168493
Surat	Gujarat	143874	143874	143874	143874	143874	143874	143874	7	1007118.0	143874.0	143874	143874	143874	143874	143874	143874	143874	7	1007118.0	143874.0	0.0	0.0
Surendranagar	Gujarat	8121	8121	8121	8121	8121	8121	8121	7	56847.0	8121.0	8121	8121	8121	8121	8121	8121	8121	7	56847.0	8121.0	0.0	0.0
Surguja	Chhattisgarh	33685	33689	33689	33690	33690	33690	33690	7	235823.0	33689.0	33690	33690	33690	33690	33690	33690	33690	7	235830.0	33690.0	1.0	0.0029683279408709074
Tamenglong	Manipur	6	6	6	7	7	7	7	7	46.0	6.571428571428571	7	7	7	7	7	7	7	7	49.0	7.0	0.4285714285714288	6.521739130434787
Tapi	Gujarat	4441	4441	4441	4441	4441	4441	4441	7	31087.0	4441.0	4441	4441	4441	4441	4441	4441	4441	7	31087.0	4441.0	0.0	0.0
Tarn Taran	Punjab	8050	8050	8050	8050	8050	8050	8050	7	56350.0	8050.0	8050	8050	8050	8050	8050	8050	8050	7	56350.0	8050.0	0.0	0.0
Tawang	Arunachal Pradesh	2596	2598	2599	2599	2599	2602	2602	7	18195.0	2599.285714285714	2602	2602	2602	2602	2603	2604	2604	7	18219.0	2602.714285714286	3.4285714285715585	0.13190436933223912
Tehri Garhwal	Uttarakhand	15836	15836	15836	15836	15836	15836	15836	7	110852.0	15836.0	15836	15838	15838	15838	15838	15838	15838	7	110864.0	15837.714285714286	1.714285714286234	0.010825244470107565
