	District	State	total_confirmed	total_tested	PositivityRate
263	Khunti	Jharkhand	54359.0	26964.0	2.01598427533007
264	Kinnaur	Himachal Pradesh	23001.0	47110.0	0.4882402886860539
265	Kiphire	Nagaland	1421.0	7014.0	0.2025948103792415
266	Kishanganj	Bihar	70424.0	2060247.0	0.03418230920855606
267	Kodagu	Karnataka	225424.0	1007874.0	0.2236628784947325
268	Kohima	Nagaland	56882.0	237902.0	0.23909845230388985
269	Kolar	Karnataka	316090.0	643468.0	0.4912287790535038
270	Kondagaon	Chhattisgarh	90921.0	11249.0	8.082585118677216
271	Koppal	Karnataka	245231.0	60956.0	4.023082223242995
272	Koraput	Odisha	131143.0	9807.0	13.372387070459876
273	Korba	Chhattisgarh	381036.0	70238.0	5.424926677866682
274	Koriya	Chhattisgarh	187816.0	18823.0	9.978005631408383
275	Kota	Rajasthan	399350.0	2488563.0	0.16047413708232422
276	Kozhikode	Kerala	2364112.0	6685420.0	0.35362206114200756
277	Kra Daadi	Arunachal Pradesh	1637.0	22526.0	0.07267157950812395
278	Krishna	Andhra Pradesh	742177.0	5475624.0	0.135541994848441
279	Krishnagiri	Tamil Nadu	287004.0	99988.0	2.870384446133536
280	Kullu	Himachal Pradesh	63137.0	84084.0	0.7508800723086437
281	Kurnool	Andhra Pradesh	860252.0	6071527.0	0.141686267721448
282	Kurukshetra	Haryana	154576.0	1392167.0	0.11103265628333382
283	Kurung Kumey	Arunachal Pradesh	3415.0	29407.0	0.11612881286768456
284	Kushinagar	Uttar Pradesh	109074.0	2203404.0	0.049502497045480535
285	Kutch	Gujarat	88077.0	1869420.0	0.04711461308855153
286	Lahaul and Spiti	Himachal Pradesh	19197.0	3780.0	5.078571428571428
287	Lakhimpur Kheri	Uttar Pradesh	170751.0	2579731.0	0.06618945928858475
288	Lakhisarai	Bihar	54200.0	2327038.0	0.023291411657222615
289	Lakshadweep	Lakshadweep	70539.0	1448284.0	0.048705226323013995
290	Lalitpur	Uttar Pradesh	89116.0	152467.0	0.584493693717329
291	Leh	Ladakh	117031.0	508179.0	0.230294837055447
292	Lepa Rada	Arunachal Pradesh	4406.0	47229.0	0.0932901395329141
293	Lohardaga	Jharkhand	46720.0	52682.0	0.8868304164610303
294	Lohit	Arunachal Pradesh	15325.0	104615.0	0.14648950915260717
295	Longding	Arunachal Pradesh	4494.0	72394.0	0.062076967704505895
296	Longleng	Nagaland	1391.0	8351.0	0.16656687821817748
297	Lower Dibang Valley	Arunachal Pradesh	13488.0	85183.0	0.15834145310684056
298	Lower Siang	Arunachal Pradesh	3991.0	49490.0	0.0806425540513235
299	Lower Subansiri	Arunachal Pradesh	12961.0	73948.0	0.1752718126250879
300	Lucknow	Uttar Pradesh	1669656.0	8663081.0	0.19273235468997693
301	Ludhiana	Punjab	610645.0	3602837.0	0.16949004354068753
302	Madhepura	Bihar	87368.0	3188374.0	0.027402055091403955
303	Madhubani	Bihar	127983.0	5006176.0	0.025565022084720952
304	Madurai	Tamil Nadu	512584.0	680953.0	0.7527450499520525
305	Maharajganj	Uttar Pradesh	86589.0	2343012.0	0.036956276792436404
306	Mahasamund	Chhattisgarh	218764.0	15281.0	14.316078790655062
307	Mahe	Puducherry	32955.0	296905.0	0.11099509944258265
308	Mahendragarh	Haryana	151809.0	1002771.0	0.15138949969634144
309	Mahisagar	Gujarat	57344.0	859572.0	0.06671227075800515
310	Mahoba	Uttar Pradesh	29869.0	1000944.0	0.029840830256238113
311	Mainpuri	Uttar Pradesh	70089.0	1599472.0	0.04382008562825732
312	Malappuram	Kerala	2590075.0	3288950.0	0.7875081713008711
313	Malkangiri	Odisha	79198.0	12887.0	6.145573058120586
314	Mandi	Himachal Pradesh	193121.0	293265.0	0.658520450786831
315	Mandsaur	Madhya Pradesh	60452.0	369131.0	0.1637684182580168
316	Mandya	Karnataka	501107.0	104118.0	4.812875775562342
317	Mansa	Punjab	108917.0	188146.0	0.5788961763736673
318	Mathura	Uttar Pradesh	141822.0	1388653.0	0.10212918562088585
319	Mau	Uttar Pradesh	58233.0	1970115.0	0.029558173000053298
320	Mayurbhanj	Odisha	265221.0	23149.0	11.457125577778738
321	Meerut	Uttar Pradesh	485722.0	5588828.0	0.08690945579287822
322	Mehsana	Gujarat	170867.0	1609328.0	0.10617288706839127
323	Mirzapur	Uttar Pradesh	77542.0	2189348.0	0.03541785042852941
324	Moga	Punjab	60260.0	541149.0	0.11135565250975239
325	Mokokchung	Nagaland	11557.0	27832.0	0.4152414486921529
326	Mon	Nagaland	7304.0	85946.0	0.08498359434994066
327	Moradabad	Uttar Pradesh	273623.0	2803213.0	0.09761049196047536
328	Morbi	Gujarat	45497.0	1101247.0	0.041314073954344485
329	Morena	Madhya Pradesh	57646.0	636769.0	0.09052890451639449
330	Mumbai	Maharashtra	5121361.0	19527991.0	0.26225744368685955
331	Mungeli	Chhattisgarh	167053.0	20454.0	8.167253348978194
332	Munger	Bihar	105601.0	2276484.0	0.04638776288346415
333	Muzaffarnagar	Uttar Pradesh	216904.0	1131928.0	0.19162349548734547
334	Muzaffarpur	Bihar	219243.0	5058557.0	0.04334101602492568
335	Mysuru	Karnataka	1198728.0	751366.0	1.5953982479909925
336	Nabarangapur	Odisha	163273.0	1135078.0	0.14384297819180708
337	Nagapattinam	Tamil Nadu	128436.0	146888.0	0.8743804803659931
338	Nagaur	Rajasthan	123972.0	1608754.0	0.07706088065670699
339	Nagpur	Maharashtra	3450408.0	2674581.0	1.2900742209714344
340	Nainital	Uttarakhand	272762.0	1430954.0	0.19061549148330414
341	Nalanda	Bihar	163732.0	4139422.0	0.039554314587882076
342	Namakkal	Tamil Nadu	325699.0	173306.0	1.8793290480421914
343	Namsai	Arunachal Pradesh	12262.0	139909.0	0.08764268202903315
344	Nanded	Maharashtra	633644.0	821233.0	0.7715763979284808
345	Nandurbar	Maharashtra	278854.0	264180.0	1.0555454614278144
346	Narayanpur	Chhattisgarh	27666.0	5628.0	4.915778251599147
347	Narmada	Gujarat	41623.0	532938.0	0.07810101737913228
348	Narsinghpur	Madhya Pradesh	78396.0	634200.0	0.12361400189214759
349	Nashik	Maharashtra	2808899.0	3488779.0	0.8051237983260046
350	Navsari	Gujarat	50020.0	903693.0	0.055350655587682984
351	Nawada	Bihar	72233.0	2257598.0	0.031995510272422284
352	Nayagarh	Odisha	153096.0	7728.0	19.81055900621118
353	Neemuch	Madhya Pradesh	55468.0	401044.0	0.13830901347483068
354	Nilgiris	Tamil Nadu	209387.0	320873.0	0.6525541257756184
355	Niwari	Madhya Pradesh	25977.0	158018.0	0.16439266412687162
356	North Tripura	Tripura	44836.0	706517.0	0.0634606102896321
357	Nuapada	Odisha	159062.0	2170.0	73.30046082949309
358	Nuh	Haryana	35055.0	653723.0	0.05362362958011268
359	Osmanabad	Maharashtra	441317.0	766150.0	0.5760190563205638
361	Pakke Kessang	Arunachal Pradesh	2492.0	23289.0	0.10700330628193568
362	Pakur	Jharkhand	17799.0	45003.0	0.3955069662022532
363	Palakkad	Kerala	1602177.0	1585934.0	1.0102419142284609
364	Palghar	Maharashtra	900732.0	2238068.0	0.40245962142347774
365	Pali	Rajasthan	191121.0	1256241.0	0.15213720934120126
366	Palwal	Haryana	76554.0	978663.0	0.07822304511358864
367	Panchkula	Haryana	214421.0	831075.0	0.25800439190205454
368	Panchmahal	Gujarat	82355.0	1126867.0	0.0730831588821041
369	Panipat	Haryana	217878.0	412041.0	0.5287774760278711
370	Papum Pare	Arunachal Pradesh	100597.0	293720.0	0.3424928503336511
371	Parbhani	Maharashtra	363926.0	776559.0	0.46863921479243686
372	Patan	Gujarat	81361.0	1183413.0	0.06875114604960399
373	Pathanamthitta	Kerala	875733.0	2142238.0	0.40879351407266606
374	Pathankot	Punjab	129921.0	203784.0	0.6375426922623955
